			DocID: 0 <TEXT> Freq=(22) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(9) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(1046) Rank: 0.0  TF-IDF=(0.0)
classroom			DocID: 1 <TEXT> Freq=(1) Rank: 0.504281646473262  TF-IDF=(0.4054651081081644), DocID: 2 <TEXT> Freq=(2) Rank: 0.43701355884500914  TF-IDF=(0.8109302162163288)
class”			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
clear			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
cleared			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
click			DocID: 2 <TEXT> Freq=(27) Rank: 2.06626644986457  TF-IDF=(29.662531794038966)
clicking			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
client			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
closed			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
co-curricular			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
co-operative			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
co-requisites			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
code			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
cody			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(6) Rank: 0.0  TF-IDF=(0.0)
coffee			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
colleges			DocID: 0 <TEXT> Freq=(8) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(8) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(8) Rank: 0.0  TF-IDF=(0.0)
column			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
combination			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
combined			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
community			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
comp248			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
complete			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
completed			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
completeness			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
completion			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
component			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
components			DocID: 2 <TEXT> Freq=(8) Rank: 1.8100473204482104  TF-IDF=(8.788898309344878)
composition			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
comprehensive			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
computer			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(9) Rank: 0.0  TF-IDF=(0.0)
concentration			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
concerning			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
concordia			DocID: 0 <TEXT> Freq=(26) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(16) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(32) Rank: 0.0  TF-IDF=(0.0)
concordia ca			DocID: 0 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0)
concordia's			DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644), DocID: 2 <TEXT> Freq=(1) Rank: 0.29909983109512334  TF-IDF=(0.4054651081081644)
concordia:			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
conduct			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
conf			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
conference			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
conferences			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
confirm			DocID: 2 <TEXT> Freq=(7) Rank: 1.7656015886501544  TF-IDF=(7.690286020676768)
confirmation			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
conflict			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
confuse			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
connect			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
conrad			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
consent			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
considered			DocID: 1 <TEXT> Freq=(1) Rank: 1.366356815140606  TF-IDF=(1.0986122886681098)
considering			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
constitute			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
consult			DocID: 2 <TEXT> Freq=(3) Rank: 0.5163805574284754  TF-IDF=(1.2163953243244932), DocID: 1 <TEXT> Freq=(1) Rank: 0.504281646473262  TF-IDF=(0.4054651081081644)
contact			DocID: 2 <TEXT> Freq=(17) Rank: 1.9962774187892276  TF-IDF=(18.676408907357867)
contain			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
contained			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
content			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
continue			DocID: 2 <TEXT> Freq=(7) Rank: 1.7656015886501544  TF-IDF=(7.690286020676768)
continuing			DocID: 0 <TEXT> Freq=(2) Rank: 0.6050196097179417  TF-IDF=(0.8109302162163288), DocID: 2 <TEXT> Freq=(2) Rank: 0.43701355884500914  TF-IDF=(0.8109302162163288)
controlled			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
coop			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
correct			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
corrections			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
correctly			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
correctness			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
costs			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
cotutelle			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
couple			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
course			DocID: 2 <TITLE> Freq=(117) Rank: 10.0  TF-IDF=(0.0), DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0)
course-based			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
course:			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
courses			DocID: 2 <TEXT> Freq=(37) Rank: 0.7750829251445072  TF-IDF=(15.002209000002082), DocID: 0 <TEXT> Freq=(1) Rank: 0.48250293651058473  TF-IDF=(0.4054651081081644)
courses:			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
courses?			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
courses  /2			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
credit			DocID: 2 <TEXT> Freq=(6) Rank: 1.7096283320669403  TF-IDF=(6.591673732008658)
credits			DocID: 2 <TEXT> Freq=(16) Rank: 1.9849316742541248  TF-IDF=(17.577796618689757)
criteria			DocID: 2 <TEXT> Freq=(17) Rank: 1.9962774187892276  TF-IDF=(18.676408907357867)
cspace			DocID: 0 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0)
culture			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
current			DocID: 0 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(1) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(9) Rank: 0.0  TF-IDF=(0.0)
currently			DocID: 2 <TEXT> Freq=(6) Rank: 1.7096283320669403  TF-IDF=(6.591673732008658)
cursor			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
cut			DocID: 0 <TEXT> Freq=(2) Rank: 1.6393074640198133  TF-IDF=(2.1972245773362196)
data			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
date			DocID: 2 <TEXT> Freq=(16) Rank: 1.9849316742541248  TF-IDF=(17.577796618689757)
dates			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(5) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(24) Rank: 0.0  TF-IDF=(0.0)
day			DocID: 2 <TEXT> Freq=(11) Rank: 1.9014256706551391  TF-IDF=(12.084735175349207)
day s			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
days			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
days/times			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
de			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0)
deadline			DocID: 2 <TEXT> Freq=(13) Rank: 1.941639682256172  TF-IDF=(14.281959752685427)
deadlines			DocID: 2 <TEXT> Freq=(17) Rank: 1.9962774187892276  TF-IDF=(18.676408907357867)
deadlines:			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
dean			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
death			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
decision			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
define			DocID: 0 <TEXT> Freq=(2) Rank: 0.6050196097179417  TF-IDF=(0.8109302162163288), DocID: 2 <TEXT> Freq=(2) Rank: 0.43701355884500914  TF-IDF=(0.8109302162163288)
defined			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
degree			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
denied			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
department			DocID: 2 <TEXT> Freq=(18) Rank: 2.0064719676752114  TF-IDF=(19.775021196025975)
department  			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
department/faculty			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
departmental			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
departments			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(5) Rank: 0.0  TF-IDF=(0.0)
depending			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
described			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
description			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
designed			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
desired			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
desk			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
detail			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
details			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
details:			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
determine			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
development			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
devices  			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
different			DocID: 2 <TEXT> Freq=(7) Rank: 1.7656015886501544  TF-IDF=(7.690286020676768)
difficulties			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
digital			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
direct			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
directions			DocID: 0 <TEXT> Freq=(2) Rank: 1.6393074640198133  TF-IDF=(2.1972245773362196)
directly			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
directories			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0)
disc			DocID: 2 <TEXT> Freq=(6) Rank: 1.7096283320669403  TF-IDF=(6.591673732008658)
discontinue			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
discoveries			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
display			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
displayed			DocID: 2 <TEXT> Freq=(10) Rank: 1.8761679687510653  TF-IDF=(10.986122886681098)
displays			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
dna			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
dne			DocID: 2 <TEXT> Freq=(8) Rank: 1.8100473204482104  TF-IDF=(8.788898309344878)
done			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
door			DocID: 1 <TEXT> Freq=(1) Rank: 1.366356815140606  TF-IDF=(1.0986122886681098)
download			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
downtown ’			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
drive			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
drop			DocID: 2 <TEXT> Freq=(17) Rank: 1.9962774187892276  TF-IDF=(18.676408907357867)
drop-down			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
dropped			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
dropping			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
dsc			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
due			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
due:			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
due’			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
e-mail			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
early			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
earned			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
ease			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
easily			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
easy			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
education			DocID: 0 <TEXT> Freq=(3) Rank: 0.660963330269735  TF-IDF=(1.2163953243244932), DocID: 2 <TEXT> Freq=(3) Rank: 0.5163805574284754  TF-IDF=(1.2163953243244932)
effect ’			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
either			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
eligible			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
elsewhere			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
email			DocID: 2 <TEXT> Freq=(10) Rank: 1.8761679687510653  TF-IDF=(10.986122886681098)
encounter			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
end			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
ending			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
engagement			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
engineering			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(7) Rank: 0.0  TF-IDF=(0.0)
english			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
enhancing			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
enroll			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
enrolled			DocID: 2 <TEXT> Freq=(13) Rank: 1.941639682256172  TF-IDF=(14.281959752685427)
enrolling			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
enrollment			DocID: 2 <TEXT> Freq=(20) Rank: 2.024043754933743  TF-IDF=(21.972245773362197)
enroll 			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
enrolment			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
ensure			DocID: 2 <TEXT> Freq=(5) Rank: 1.6369746139538217  TF-IDF=(5.493061443340549)
enter			DocID: 2 <TEXT> Freq=(17) Rank: 1.9962774187892276  TF-IDF=(18.676408907357867)
entered			DocID: 2 <TEXT> Freq=(7) Rank: 1.7656015886501544  TF-IDF=(7.690286020676768)
entering			DocID: 2 <TEXT> Freq=(6) Rank: 1.7096283320669403  TF-IDF=(6.591673732008658)
entitle			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
entitled			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
entry			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
equals			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
error			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
esl			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
etc			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
ethics			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
even			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
events			DocID: 0 <TEXT> Freq=(7) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(7) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0)
eventually			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
exact			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
example			DocID: 2 <TEXT> Freq=(13) Rank: 1.941639682256172  TF-IDF=(14.281959752685427)
example:			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
examples			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
exams			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
except			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
exchange			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
excluding			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
exemptions			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
existence			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
existing			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
expanded			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
experience			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
experiential			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
expertise			DocID: 0 <TEXT> Freq=(2) Rank: 1.6393074640198133  TF-IDF=(2.1972245773362196)
explaining			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
explore			DocID: 0 <TEXT> Freq=(2) Rank: 0.6050196097179417  TF-IDF=(0.8109302162163288), DocID: 2 <TEXT> Freq=(1) Rank: 0.29909983109512334  TF-IDF=(0.4054651081081644)
ext			DocID: 2 <TEXT> Freq=(4) Rank: 1.538878515702723  TF-IDF=(4.394449154672439)
extremely			DocID: 2 <TEXT> Freq=(2) Rank: 1.1840931721642358  TF-IDF=(2.1972245773362196)
facebook			DocID: 0 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(2) Rank: 0.0  TF-IDF=(0.0)
facts			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
faculties			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0)
faculty			DocID: 0 <TEXT> Freq=(4) Rank: 0.0  TF-IDF=(0.0), DocID: 1 <TEXT> Freq=(3) Rank: 0.0  TF-IDF=(0.0), DocID: 2 <TEXT> Freq=(10) Rank: 0.0  TF-IDF=(0.0)
faculty-related			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
faculty/department			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
faculty’			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
faculty”			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
failed			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
failing			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
faith			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
fall			DocID: 2 <TEXT> Freq=(11) Rank: 1.9014256706551391  TF-IDF=(12.084735175349207)
fall-term			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
fall/winter			DocID: 2 <TEXT> Freq=(3) Rank: 1.3991389509868126  TF-IDF=(3.295836866004329)
fast			DocID: 0 <TEXT> Freq=(1) Rank: 1.3073471545856634  TF-IDF=(1.0986122886681098)
feature			DocID: 2 <TEXT> Freq=(11) Rank: 1.9014256706551391  TF-IDF=(12.084735175349207)
features			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
february			DocID: 2 <TEXT> Freq=(1) Rank: 0.8104143695935497  TF-IDF=(1.0986122886681098)
federal			DocID: 0 <TEXT> Freq=(2) Rank: 1.6393074640198133  TF-IDF=(2.1972245773362196)
