			0 <TEXT>  (22) Rank: 0.0, 1 <TEXT>  (27) Rank: 0.0, 2 <TEXT>  (72) Rank: 0.0
pleasurable			0 <TEXT>  (1) Rank: 0.0
policies			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
possible			2 <TEXT>  (1) Rank: 0.0
post-doctoral			0 <TEXT>  (2) Rank: 0.0
postdocs			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
postdoctoral			1 <TEXT>  (1) Rank: 0.0
posted			2 <TEXT>  (1) Rank: 0.0
posting			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
previous			2 <TEXT>  (1) Rank: 0.0
prior			2 <TEXT>  (1) Rank: 0.0
privacy			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
procedures			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
professional			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
program			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
programs			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (6) Rank: 0.0, 2 <TEXT>  (9) Rank: 0.0
property			2 <TEXT>  (1) Rank: 0.0
published			1 <TEXT>  (1) Rank: 0.0
quartier			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
quebec			0 <TEXT>  (5) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
quick			0 <TEXT>  (9) Rank: 0.0, 1 <TEXT>  (9) Rank: 0.0, 2 <TEXT>  (10) Rank: 0.0
range			0 <TEXT>  (1) Rank: 0.0
readers			2 <TEXT>  (1) Rank: 0.0
reason			2 <TEXT>  (1) Rank: 0.0
reasonable			2 <TEXT>  (1) Rank: 0.0
recent			2 <TEXT>  (1) Rank: 0.0
recreation			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
recruitment			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
references			2 <TEXT>  (1) Rank: 0.0
registered			2 <TEXT>  (2) Rank: 0.0
registrar			2 <TEXT>  (1) Rank: 0.0
registration			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (6) Rank: 0.0
regulations			1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (6) Rank: 0.0
related			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
relations			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
required			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
requirements			2 <TEXT>  (4) Rank: 0.0
research			0 <TEXT>  (25) Rank: 0.0, 1 <TEXT>  (8) Rank: 0.0, 2 <TEXT>  (8) Rank: 0.0
Research			0 <TITLE>  (1) Rank: 0.0
researcher			0 <TEXT>  (1) Rank: 0.0
researchers			0 <TEXT>  (3) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
reserves			1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
residence			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
resources			0 <TEXT>  (10) Rank: 0.0, 1 <TEXT>  (9) Rank: 0.0, 2 <TEXT>  (9) Rank: 0.0
responsibility			2 <TEXT>  (2) Rank: 0.0
responsible			2 <TEXT>  (2) Rank: 0.0
result			2 <TEXT>  (2) Rank: 0.0
rhythm			0 <TEXT>  (2) Rank: 0.0
right			1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
riots			2 <TEXT>  (1) Rank: 0.0
roadkill			0 <TEXT>  (2) Rank: 0.0
rules			2 <TEXT>  (2) Rank: 0.0
safer			0 <TEXT>  (1) Rank: 0.0
saguenay			0 <TEXT>  (1) Rank: 0.0
scale			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
schedule			2 <TEXT>  (1) Rank: 0.0
schedules			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
scholars			0 <TEXT>  (1) Rank: 0.0
school			0 <TEXT>  (12) Rank: 0.0, 1 <TEXT>  (17) Rank: 0.0, 2 <TEXT>  (13) Rank: 0.0
schools			0 <TEXT>  (8) Rank: 0.0, 1 <TEXT>  (8) Rank: 0.0, 2 <TEXT>  (8) Rank: 0.0
science			0 <TEXT>  (8) Rank: 0.0, 1 <TEXT>  (10) Rank: 0.0, 2 <TEXT>  (8) Rank: 0.0
sciences			0 <TEXT>  (2) Rank: 0.0
search			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
sections			2 <TEXT>  (1) Rank: 0.0
sector			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
security			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
see			0 <TEXT>  (5) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
seek			2 <TEXT>  (1) Rank: 0.0
senate			1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
service			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
services			0 <TEXT>  (13) Rank: 0.0, 1 <TEXT>  (14) Rank: 0.0, 2 <TEXT>  (14) Rank: 0.0
set			2 <TEXT>  (1) Rank: 0.0
sgw			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
share			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
sherbrooke			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
shows			0 <TEXT>  (2) Rank: 0.0
shuttle			0 <TEXT>  (5) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (5) Rank: 0.0
sir			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
six			1 <TEXT>  (1) Rank: 0.0
skills			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
small			0 <TEXT>  (1) Rank: 0.0
social			0 <TEXT>  (3) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
societal			0 <TEXT>  (1) Rank: 0.0
solely			2 <TEXT>  (1) Rank: 0.0
sought			2 <TEXT>  (1) Rank: 0.0
specific			2 <TEXT>  (2) Rank: 0.0
speech			0 <TEXT>  (1) Rank: 0.0
sports			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
spotlights			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
sshrc			0 <TEXT>  (1) Rank: 0.0
staff			0 <TEXT>  (3) Rank: 0.0, 1 <TEXT>  (3) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
stores			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (4) Rank: 0.0
storytellers:			0 <TEXT>  (1) Rank: 0.0
strategic			0 <TEXT>  (3) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
street			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
streets			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
strikes			2 <TEXT>  (1) Rank: 0.0
structure			2 <TEXT>  (1) Rank: 0.0
student			0 <TEXT>  (12) Rank: 0.0, 1 <TEXT>  (13) Rank: 0.0, 2 <TEXT>  (15) Rank: 0.0
students			0 <TEXT>  (10) Rank: 0.0, 1 <TEXT>  (11) Rank: 0.0, 2 <TEXT>  (14) Rank: 0.0
student’s			2 <TEXT>  (1) Rank: 0.0
studies			0 <TEXT>  (4) Rank: 0.0, 1 <TEXT>  (7) Rank: 0.0, 2 <TEXT>  (5) Rank: 0.0
study			0 <TEXT>  (8) Rank: 0.0, 1 <TEXT>  (5) Rank: 0.0, 2 <TEXT>  (5) Rank: 0.0
subject			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
submitted			2 <TEXT>  (1) Rank: 0.0
substantial			2 <TEXT>  (1) Rank: 0.0
success			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
suffered			2 <TEXT>  (1) Rank: 0.0
summer			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
support			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
sustainability			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
synthetic			0 <TEXT>  (1) Rank: 0.0
systems			2 <TEXT>  (1) Rank: 0.0
tackle			0 <TEXT>  (1) Rank: 0.0
tackling			0 <TEXT>  (1) Rank: 0.0
teaching			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
technology			0 <TEXT>  (1) Rank: 0.0
tells			0 <TEXT>  (1) Rank: 0.0
term			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
termination			2 <TEXT>  (1) Rank: 0.0
terms			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
test			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
thesis			1 <TEXT>  (1) Rank: 0.0
the application			1 <TEXT>  (1) Rank: 0.0
the program			1 <TEXT>  (1) Rank: 0.0
thousands			0 <TEXT>  (1) Rank: 0.0
time			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
timetable			2 <TEXT>  (1) Rank: 0.0
top			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
topics			0 <TEXT>  (1) Rank: 0.0
tours			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
to apply			0 <TEXT>  (1) Rank: 0.0
traffic			0 <TEXT>  (1) Rank: 0.0
trainees			0 <TEXT>  (1) Rank: 0.0
transdisciplinary			0 <TEXT>  (1) Rank: 0.0
tuition			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
twitter			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
undergraduate			0 <TEXT>  (6) Rank: 0.0, 1 <TEXT>  (6) Rank: 0.0, 2 <TEXT>  (20) Rank: 0.0
Undergraduate Calendar			2 <TITLE>  (1) Rank: 0.0
undergraduates			0 <TEXT>  (1) Rank: 0.0
understand			2 <TEXT>  (1) Rank: 0.0
units			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
university			0 <TEXT>  (11) Rank: 0.0, 1 <TEXT>  (15) Rank: 0.0, 2 <TEXT>  (21) Rank: 0.0
upon			1 <TEXT>  (1) Rank: 0.0
urban			0 <TEXT>  (1) Rank: 0.0
us			0 <TEXT>  (3) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
use			0 <TEXT>  (1) Rank: 0.0
using			2 <TEXT>  (1) Rank: 0.0
vary			1 <TEXT>  (1) Rank: 0.0
verification			1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
version			2 <TEXT>  (3) Rank: 0.0
view			2 <TEXT>  (1) Rank: 0.0
visit			1 <TEXT>  (1) Rank: 0.0
visiting			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
visitors			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
war			2 <TEXT>  (1) Rank: 0.0
ways			0 <TEXT>  (2) Rank: 0.0
webmail			0 <TEXT>  (3) Rank: 0.0, 1 <TEXT>  (3) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
website			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
week			0 <TEXT>  (1) Rank: 0.0
well			2 <TEXT>  (1) Rank: 0.0
we’re			0 <TEXT>  (2) Rank: 0.0
williams			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (2) Rank: 0.0, 2 <TEXT>  (2) Rank: 0.0
winter			2 <TEXT>  (1) Rank: 0.0
working			0 <TEXT>  (2) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
world			0 <TEXT>  (1) Rank: 0.0
year			2 <TEXT>  (2) Rank: 0.0
youtube			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (1) Rank: 0.0, 2 <TEXT>  (1) Rank: 0.0
 / 			0 <TEXT>  (1) Rank: 0.0, 1 <TEXT>  (4) Rank: 0.0, 2 <TEXT>  (3) Rank: 0.0
‘netflix			0 <TEXT>  (1) Rank: 0.0
“archived			2 <TEXT>  (1) Rank: 0.0
